nomePais	cidadeDestino	tipoFestival	nomeFestival	precoPessoa	precoDiario	epoca	duracao	imagem	informacoes	Campismo	preco	Ambiente	Região	diversao	palcos
Canada	Montreal	Variado	Heavy Montreal	186	100	Verao	2	heavy_montreal.jpg	http://www.heavymontreal.com/	Nao	143	Urbano	America do Norte	Nao	2
Suecia	Ostersund	Variado	Storsjoyran	120	75	Verao	2	storsjoyranfestival.jpg	http://storsjoyran.se/in-english/	Nao	97	Rural	Europa	Nao	8
Dinamarca	Aarhus	Variado	NorthSide	187	120	Primavera	3	northside.jpg	http://northside.dk/	Nao	153	Rural	Europa	Nao	4
EUA	Washington	Variado	Sasquatch! Festival 1	316	85	Primavera	4	sasquatch.jpg	https://www.sasquatchfestival.com/	Sim	200	Rural	America do Norte	Nao	3
EUA	Oklahoma	Rock	Rockahoma	432	126	Primavera	3	rockahoma.jpg	http://rocklahoma.com/	Sim	279	Rural	America do Norte	Sim	3
Luxemburgo	Roeser	Variado	Rock A Field Festival	85	50	Verao	2	rock_a_field.jpg	http://www.rockafield.lu/	Sim	67	Rural	Europa	Sim	4
EUA	Boston	Variado	Boston Calling Music Festival	167	70	Primavera	3	boston.jpg	http://bostoncalling.com/	Nao	118	Urbano	America do Norte	Nao	4
Filandia	Joensuu	Rock	Ilosaarirock Festival	151	79	Verao	3	IlosaarirockFestival.jpg	http://www.ilosaarirock.fi/2016/	Sim	115	Fluvial	Europa	Sim	6
Holanda	Schijndel	Pop	Passpop	105	69	Primavera	3	passpop.jpg	http://www.paaspop.nl/	Sim	87	Urbano	Europa	Nao	9
Dinamarca	Skanderborg	Variado	Smukfest	295	90	Verao	5	smukfest.jpg	http://www.smukfest.dk/	Sim	192	Rural	Europa	Sim	2
Alemanha	Rothenburg ob der Tauber	Variado	Taubertal Festival	109	57	Verao	4	taubertal.jpg	http://www.taubertal-festival.de/cms/	Sim	83	Rural	Europa	Sim	1
Espanha	Murcia	Variado	SOS 4.8 Festival	119	35	Primavera	3	Festival-SOS-2014.jpg	http://sos48.com/	Sim	77	Urbano	Europa	Nao	3
Canada	Montreal	Variado	Osheaga	210	80	Verao	3	psheaga.jpg	http://www.osheaga.com/	Nao	145	Urbano	America do Norte	Sim	3
Hungria 	Zamárdi	Variado	Balaton Sound	190	57	Verao	5	balaton_sound.jpg	http://sziget.hu/balatonsound_english/	Nao	123	Fluvial	Europa	Nao	7
Irlanda	Dublin	Variado	Longitude Festival	159	64	Verao	3	fv1bSfPm.jpg	http://www.longitude.ie/	Nao	111	Urbano	Europa	Nao	2
Reino Unido	Brighton	Variado	Great Escape Festival	76	41	Primavera	3	tge14.jpg	http://greatescapefestival.com/	Nao	58	Urbano	Europa	Nao	4
Serbia	Belgrado	Variado	Belgrade Calling	40	24	Verao	2	belgrade.jpg	Indisponivel	Nao	32	Urbano	Europa	Sim	2
EUA	Washigton	Eletronica	Paradiso Festival	100	65	Verao	2	paradiso.jpg	http://paradisofestival.com/camping	Sim	82	Fluvial	America do Norte	Nao	3
EUA	West Virginia	Variado	All Good Music Festival	195	75	Verao	7	all_good_music.jpg	http://allgoodfestival.com/	Sim	135	Rural	America do Norte	Nao	8
Grecia	Malakasa	Variado	Rockwave Festival	150	40	Verao	4	rockwave.jpg	http://www.rockwavefestival.gr/	Sim	95	Rural	Europa	Sim	3
Filandia	Helsinki	Variado	Flow Festival	175	92	Verao	2	flow.jpg	http://www.flowfestival.com/en/	Nao	133	Urbano	Europa	Nao	3
Croacia	Stinjan	Variado	Outlook Festival	175	40	Verao	4	Outlook-Logo-2016.jpg	http://www.outlookfestival.com/	Sim	107	Fluvial	Europa	Nao	3
Bulgaria	Burgas	Variado	Spirit of Burgas	90	75	Verao	2	spirit_burgas.jpg	http://spiritofburgas.com/static/show_ticket/2	Sim	82	Praia	Europa	Sim	5
Islandia	Reykjavik	Variado	Iceland Airwaves	135	40	Inverno	4	iceland.jpg	http://icelandairwaves.is/	Nao	87	Praia	Europa	Nao	4
Croacia	Pula	Variado	Dimensions Festival	190	40	Verao	3	dimensions.jpg	http://www.dimensionsfestival.com	Sim	115	Urbano	Europa	Sim	3
EUA	Wisconsin	Rock	Rock Fest	120	70	Verao	3	rock_fest.jpg	http://rock-fest.com/	Sim	95	Rural	America do Norte	Nao	5
Irlanda	Tullamore	Variado	Castlepalooza	115	50	Verao	3	castle-palooza.jpg	http://www.castlepalooza.com/	Sim	82	Rural	Europa	Nao	3
Portugal	Viana do Castelo	Eletronica	NEOPOP	150	65	Verao	3	neopop.jpg	http://neopopfestival.com/	Sim	107	Praia	Europa	Sim	2
Holanda	Amesterdao	Eletronica	LOVELAND 909	25	25	Primavera	1	loveland.jpg	http://loveland.nl/	Nao	25	Fluvial	Europa	Nao	4
Holanda	Utrecht	Eletronica	Geheime Liefde	30	30	Primavera	1	Geheime_Liefde.jpg	http://www.geheimeliefde.nl/	Nao	30	Rural	Europa	Sim	2
Alemanha	Mannheim	Eletronica	Time Warp Mannheim	69	69	Primavera	1	Timewarp.jpg	http://www.time-warp.de/germany/index_eng.html	Nao	69	Urbano	Europa	Sim	5
EUA	Tempe, Arizona	Rock	Pot of Gold	110	65	Inverno	3	pot_of_gold.jpg	http://www.potofgoldaz.com/	Sim	87	Rural	America do Norte	Nao	8
EUA	S. Padre Island, Texas	Eletronica	Ultimate Music Experience	178	90	Inverno	3	ultimate_music_Experience.jpg	https://umesouthpadre.com	Sim	134	Urbano	America do Norte	Nao	6
EUA	Miami, Florida	Eletronica	Ultra Miami 	350	125	Primavera	3	ulta_miami.jpg	https://ultramusicfestival.com/	Sim	237	Praia	America do Norte	Sim	5
EUA	ST.Augustin, Florida	Variado	Fool's Paradise	175	100	Primavera	2	fools_paradise.jpg	http://www.foolsparadisefl.com/	Sim	137	Rural	America do Norte	Sim	3
EUA	Phoenx, Arizona	Eletronica	Phoneix Lights	129	80	Primavera	2	phoenix.jpg	http://phoenixlightsfest.com/	Sim	104	Urbano	America do Norte	Sim	2
EUA	California	Eletronica	Desert Hearts 	200	70	Primavera	4	desert.jpg	http://www.deserthearts.us/	Sim	135	Tradicional	America do Norte	Sim	2
EUA	Knoxville	Variado	Big ears	460	150	Primavera	3	big_ears.jpg	http://www.bigearsfestival.com/	Sim	305	Urbano	America do Norte	Nao	8
Argentina	Buenos Aires	Variado	Bue Festival	0	0	Inverno	2	bue.jpg	http://www.indiehoy.com/agenda/festival-bue-2016/	Sim	0	Rural	America do Sul	Nao	3
Argentina	Buenos Aires	Rock	Monsters of Rock	85	85	Verao	1	monstersrock.jpg	http://www.setlist.fm/festivals/monsters-of-rock-argentina-3bd6bc00.html	Nao	85	Rural	America do Sul	Nao	1
Argentina	Buenos Aires	Rock	Quilmes Rock	450	180	Primavera	4	quilmes.jpg	http://fests.eu/pt/festival/quilmes-rock/	Sim	315	Urbano	America do Sul	Nao	7
Brasil	Rio de Janeiro	Variado	Rock in Rio - Brasil	350	175	Verao	7	rockinriobrasil.jpg	http://rockinrio.com/	Sim	262	Urbano	America do Sul	Sim	5
Brasil	Villa dos Galpoes	Variado	Planeta Terra Festival	300	300	Inverno	1	planetaterra.jpg	http://musica.terra.com.br/planetaterra/	Nao	300	Urbano	America do Sul	Sim	2
Brasil	Santa Catarina	Eletronica	Dream Valley	250	150	Inverno	2	dreamvalley.jpg	http://dreamvalleyfestival.com.br/	Nao	200	Rural	America do Sul	Sim	2
Brasil	Curitiba	Eletronica	Playground Music Festival	60	60	Verao	1	playground.jpg	http://playmf.com.br/	Nao	60	Rural	America do Sul	Sim	3
Brasil	Morumbi	Variado	Z Festival	220	110	Inverno	2	zfestival.jpg	http://www.xyzlive.com.br/zfestival	Nao	165	Urbano	America do Sul	Nao	1
Chile	Santiago	Variado	Lollapalooza	125	55	Primavera	2	lollapalooza.jpg	http://www.lollapaloozacl.com/	Sim	90	Urbano	America do Sul	Sim	4
China	Beijing	Variado	Beijing Pop Festival	40	25	Verao	2	beijing.jpg	http://www.beijingpopfestival.com/	Sim	32	Rural	America do Sul	Nao	1
China	Beijing	Rock	Modern Sky Festival	75	75	Primavera	1	modernsky.jpg	http://festival.modernsky.com/	Nao	75	Rural	America do Sul	Nao	1
